Technician,Project,Address,Scheduled Date,Clock In,Clock Out,Duration (hrs),Break (min),Notes
Marc Gregory Turno,RC Validation Test Project,,"Jul 15, 2026","Jul 15, 2026, 11:19 AM","Jul 15, 2026, 11:20 AM",0.01h,0m,—
QA Tech tech2,BETA-SMOKE-T2 Multi-Tech Workflow,"123 Test Ave, QA City","Jul 15, 2026","Jul 14, 2026, 6:23 PM","Jul 14, 2026, 6:29 PM",0.11h,0m,Tech 2 clock out - work completed
QA Tech tech1,BETA-SMOKE-T2 Multi-Tech Workflow,"123 Test Ave, QA City","Jul 15, 2026","Jul 14, 2026, 6:22 PM","Jul 14, 2026, 6:29 PM",0.13h,0m,Tech 1 clock out - work completed
dodong,Centrio Mall Fiber Migration,"Centrio Mall, Corrales Ave, Cagayan de Oro","Jul 13, 2026","Jul 13, 2026, 9:42 AM","Jul 13, 2026, 9:43 AM",0.01h,0m,Auto clock-in for rework
Goblin,Centrio Mall Fiber Migration,"Centrio Mall, Corrales Ave, Cagayan de Oro","Jul 13, 2026","Jul 13, 2026, 9:41 AM","Jul 13, 2026, 10:30 AM",0.82h,0m,Auto clock-in for rework
dodong,Centrio Mall Fiber Migration,"Centrio Mall, Corrales Ave, Cagayan de Oro","Jul 13, 2026","Jul 13, 2026, 6:11 AM","Jul 13, 2026, 9:28 AM",3.28h,0m,Auto clock-in on arrival
Goblin,Centrio Mall Fiber Migration,"Centrio Mall, Corrales Ave, Cagayan de Oro","Jul 13, 2026","Jul 13, 2026, 6:10 AM","Jul 13, 2026, 9:26 AM",3.27h,0m,Auto clock-in on arrival
Goblin,Centrio Mall Fiber Migration,"Centrio Mall, Corrales Ave, Cagayan de Oro",,"Jul 12, 2026, 4:57 AM","Jul 12, 2026, 4:57 AM",0.00h,0m,—
Goblin,Smith Residence CCTV Installation,"FJ4C+V4M, Atlantic St, Cagayan De Oro City, Misamis Oriental","Jul 10, 2026","Jul 9, 2026, 5:49 PM","Jul 9, 2026, 5:53 PM",0.06h,0m,—
Goblin,Smith Residence CCTV Installation,"FJ4C+V4M, Atlantic St, Cagayan De Oro City, Misamis Oriental","Jul 10, 2026","Jul 9, 2026, 5:44 PM","Jul 9, 2026, 5:47 PM",0.05h,0m,Auto clock-in on arrival
Goblin,ABC Manufacturing Office Network Upgrade,"FMJ8+V79, National Highway, Lapasan, Cagayan de Oro, 9000 Lalawigan ng Misamis Oriental","Jul 9, 2026","Jul 9, 2026, 10:00 AM","Jul 9, 2026, 10:10 AM",0.18h,0m,Auto clock-in on arrival
dodong,ABC Manufacturing Office Network Upgrade,"FMJ8+V79, National Highway, Lapasan, Cagayan de Oro, 9000 Lalawigan ng Misamis Oriental","Jul 9, 2026","Jul 9, 2026, 10:00 AM","Jul 9, 2026, 10:12 AM",0.21h,0m,Auto clock-in on arrival
